NFL Team,Wins,Losses,Ties,PCT,PF,PA,Net Pts,Home,Road,Div,Pct2,Conf,Pct3,Non-Conf,Strk,Last 5
Philadelphia Eagles,4,0,0,1,115,71,44,2 - 0 - 0,2 - 0 - 0,1 - 0 - 0,1,3 - 0 - 0,1,1 - 0 - 0,4W,4 - 0 - 0
Buffalo Bills,3,1,0,0.75,114,58,56,1 - 0 - 0,2/1/00,0 - 1 - 0,0,2/1/00,0.667,1 - 0 - 0,1W,3/1/00
Dallas Cowboys,3,1,0,0.75,71,62,9,2/1/00,1 - 0 - 0,2 - 0 - 0,1,2/1/00,0.667,1 - 0 - 0,3W,3/1/00
Green Bay Packers,3,1,0,0.75,75,69,6,2 - 0 - 0,1/1/00,1/1/00,0.5,2/1/00,0.667,1 - 0 - 0,3W,3/1/00
Kansas City Chiefs,3,1,0,0.75,129,96,33,1 - 0 - 0,2/1/00,1 - 0 - 0,1,1/1/00,0.5,2 - 0 - 0,1W,3/1/00
Miami Dolphins,3,1,0,0.75,98,91,7,2 - 0 - 0,1/1/00,2 - 0 - 0,1,3/1/00,0.75,0 - 0 - 0,1L,3/1/00
Minnesota Vikings,3,1,0,0.75,86,80,6,2 - 0 - 0,1/1/00,2 - 0 - 0,1,3/1/00,0.75,0 - 0 - 0,2W,3/1/00
New York Giants,3,1,0,0.75,76,71,5,2/1/00,1 - 0 - 0,0 - 1 - 0,0,2/1/00,0.667,1 - 0 - 0,1W,3/1/00
Los Angeles Rams,2,1,0,0.667,61,70,-9,1/1/00,1 - 0 - 0,1 - 0 - 0,1,2 - 0 - 0,1,0 - 1 - 0,2W,2/1/00
Arizona Cardinals,2,2,0,0.5,88,103,-15,0 - 2 - 0,2 - 0 - 0,0 - 1 - 0,0,1/1/00,0.5,1/1/00,1W,2/2/00
Atlanta Falcons,2,2,0,0.5,103,101,2,1/1/00,1/1/00,0 - 1 - 0,0,1/2/00,0.333,1 - 0 - 0,2W,2/2/00
Baltimore Ravens,2,2,0,0.5,119,100,19,0 - 2 - 0,2 - 0 - 0,0 - 0 - 0,0,2/2/00,0.5,0 - 0 - 0,1L,2/2/00
Chicago Bears,2,2,0,0.5,64,77,-13,2 - 0 - 0,0 - 2 - 0,0 - 1 - 0,0,1/2/00,0.333,1 - 0 - 0,1L,2/2/00
Cincinnati Bengals,2,2,0,0.5,91,70,21,1/1/00,1/1/00,0 - 1 - 0,0,2/1/00,0.667,0 - 1 - 0,2W,2/2/00
Cleveland Browns,2,2,0,0.5,105,95,10,1/1/00,1/1/00,1 - 0 - 0,1,1/1/00,0.5,1/1/00,1L,2/2/00
Denver Broncos,2,2,0,0.5,66,68,-2,2 - 0 - 0,0 - 2 - 0,0 - 1 - 0,0,1/1/00,0.5,1/1/00,1L,2/2/00
Jacksonville Jaguars,2,2,0,0.5,105,67,38,1 - 0 - 0,1/2/00,1 - 0 - 0,1,2 - 0 - 0,1,0 - 2 - 0,1L,2/2/00
Los Angeles Chargers,2,2,0,0.5,92,108,-16,1/1/00,1/1/00,1/1/00,0.5,2/2/00,0.5,0 - 0 - 0,1W,2/2/00
New York Jets,2,2,0,0.5,76,101,-25,0 - 2 - 0,2 - 0 - 0,0 - 0 - 0,0,2/2/00,0.5,0 - 0 - 0,1W,2/2/00
Seattle Seahawks,2,2,0,0.5,95,115,-20,1/1/00,1/1/00,0 - 1 - 0,0,1/2/00,0.333,1 - 0 - 0,1W,2/2/00
Tampa Bay Buccaneers,2,2,0,0.5,82,68,14,0 - 2 - 0,2 - 0 - 0,1 - 0 - 0,1,2/1/00,0.667,0 - 1 - 0,2L,2/2/00
Tennessee Titans,2,2,0,0.5,75,101,-26,1/1/00,1/1/00,1 - 0 - 0,1,2/1/00,0.667,0 - 1 - 0,2W,2/2/00
Indianapolis Colts,1,2,1,0.375,57,85,-28,1/1/00,0 - 1 - 1,0 - 2 - 1,0.167,1/2/01,0.375,0 - 0 - 0,1L,1/2/01
San Francisco 49ers,1,2,0,0.333,47,37,10,1 - 0 - 0,0 - 2 - 0,1 - 0 - 0,1,1/1/00,0.5,0 - 1 - 0,1L,1/2/00
Carolina Panthers,1,3,0,0.25,78,85,-7,1/2/00,0 - 1 - 0,1 - 0 - 0,1,1/2/00,0.333,0 - 1 - 0,1L,1/3/00
Detroit Lions,1,3,0,0.25,140,141,-1,1/2/00,0 - 1 - 0,0 - 1 - 0,0,1/3/00,0.25,0 - 0 - 0,2L,1/3/00
Las Vegas Raiders,1,3,0,0.25,96,100,-4,1/1/00,0 - 2 - 0,1/1/00,0.5,1/2/00,0.333,0 - 1 - 0,1W,1/3/00
New England Patriots,1,3,0,0.25,74,98,-24,0 - 1 - 0,1/2/00,0 - 1 - 0,0,1/2/00,0.333,0 - 1 - 0,2L,1/3/00
New Orleans Saints,1,3,0,0.25,76,96,-20,0 - 2 - 0,1/1/00,1/2/00,0.333,1/3/00,0.25,0 - 0 - 0,3L,1/3/00
Pittsburgh Steelers,1,3,0,0.25,74,90,-16,0 - 2 - 0,1/1/00,1/1/00,0.5,1/3/00,0.25,0 - 0 - 0,3L,1/3/00
Washington Commanders,1,3,0,0.25,73,107,-34,1/1/00,0 - 2 - 0,0 - 2 - 0,0,0 - 3 - 0,0,1 - 0 - 0,3L,1/3/00
Houston Texans,0,3,1,0.125,73,93,-20,0 - 1 - 1,0 - 2 - 0,0 - 0 - 1,0.5,0 - 2 - 1,0.167,0 - 1 - 0,3L,0 - 3 - 1